,combined_chargedescription,arrest_year,X,Y,arrestnumber,age,latitude,longitude,objectid,shape,arrest_month
2500,FALSE STATEMENT TO POLICE OFFI,2018,1404943.69471286,599128.398904474,18019713.0,18.0,39.3113,-76.6727,328025,0.0,2
2501,FALSE STATMENT,2022,1415301.37427725,598730.525948153,22052680.0,47.0,39.3101,-76.6361,234520,0.0,5
2502,FALSE STMT STATE OFFICIAL,2021,0.0,0.0,42203104.0,46.0,0.0,0.0,307339,0.0,14
2503,FALSE STMT TO PEACE OFFICER,2018,0.0,0.0,54148943.0,94.0,0.0,0.0,817983,0.0,11
2504,FALSE STMT TO PEACE OFFICER,2019,0.0,0.0,19157324.0,25.0,0.0,0.0,49025,0.0,11
2505,FALSE STMT TO PEACE OFFICER,2020,0.0,0.0,40054214.0,41.0,0.0,0.0,607176,0.0,5
2506,FALSE STMT TO PEACE OFFICER,2021,0.0,0.0,21123024.0,27.0,0.0,0.0,108152,0.0,9
2507,FALSE STMT TO PEACE OFFICER,2022,0.0,0.0,44128833.0,66.0,0.0,0.0,419883,0.0,11
2508,FALSE/MISLEADING INFO FRAUD +$,2020,0.0,0.0,20119080.0,63.0,0.0,0.0,127741,0.0,8
2509,FALSIFYING IMFORMATION,2019,1417888.75332931,595681.375295727,19046689.0,19.0,39.3017,-76.627,268701,0.0,3
2510,FALSIFYING/ATT TO FALSIFY W/FR,2019,0.0,0.0,19097547.0,26.0,0.0,0.0,167073,0.0,7
2511,FEDERAL DETAIN ONLY,2021,0.0,0.0,21152725.0,34.0,0.0,0.0,36022,0.0,11
2512,FEDERAL DETAINEE,2019,0.0,0.0,38135509.0,77.0,0.0,0.0,454834,0.0,10
2513,FEDERAL DETAINEE,2021,0.0,0.0,21009106.0,23.0,0.0,0.0,342799,0.0,1
2514,FEDERAL DETAINEE,2022,0.0,0.0,44055293.0,57.0,0.0,0.0,576923,0.0,5
2515,FEDERAL REMAND,2018,0.0,0.0,36323376.0,76.0,0.0,0.0,113271,0.0,20
2516,FEDERAL REMAND,2019,0.0,0.0,38026686.0,76.0,0.0,0.0,669472,0.0,3
